date,S&P500,NASDAQ100
2020-08-03,11886,
2020-08-04,11971,
2020-08-05,11956,
2020-08-06,12020,
2020-08-07,12108,
2020-08-11,12218,
2020-08-12,12166,
2020-08-13,12354,
2020-08-14,12363,
2020-08-17,12311,
2020-08-18,12261,
2020-08-19,12218,
2020-08-20,12270,
2020-08-21,12263,
2020-08-24,12318,
2020-08-25,12468,
2020-08-26,12566,
2020-08-27,12631,
2020-08-28,12740,
2020-08-31,12669,
2020-09-01,12707,
2020-09-02,12819,
2020-09-03,13043,
2020-09-04,12579,
2020-09-07,12498,
2020-09-08,12492,
2020-09-09,12111,
2020-09-10,12382,
2020-09-11,12158,
2020-09-14,12166,
2020-09-15,12274,
2020-09-16,12297,
2020-09-17,12205,
2020-09-18,12076,
2020-09-23,11960,
2020-09-24,11713,
2020-09-25,11761,
2020-09-28,11927,
2020-09-29,12117,
2020-09-30,12113,
2020-10-01,12182,
2020-10-02,12249,
2020-10-05,12135,
2020-10-06,12361,
2020-10-07,12192,
2020-10-08,12449,
2020-10-09,12542,
2020-10-12,12615,
2020-10-13,12787,
2020-10-14,12713,
2020-10-15,12610,
2020-10-16,12602,
2020-10-19,12608,
2020-10-20,12427,
2020-10-21,12463,
2020-10-22,12346,
2020-10-23,12419,
2020-10-26,12459,
2020-10-27,12242,
2020-10-28,12163,
2020-10-29,11728,
2020-10-30,11892,
2020-11-02,11767,
2020-11-04,12099,
2020-11-05,12336,
2020-11-06,12507,
2020-11-09,12462,
2020-11-10,12835,
2020-11-11,12812,
2020-11-12,12943,
2020-11-13,12764,
2020-11-16,12902,
2020-11-17,13025,
2020-11-18,12916,
2020-11-19,12742,
2020-11-20,12794,
2020-11-24,12866,
2020-11-25,13063,
2020-11-26,13023,
2020-11-27,13000,
2020-11-30,13000,
2020-12-01,12989,
2020-12-02,13145,
2020-12-03,13188,
2020-12-04,13098,
2020-12-07,13246,
2020-12-08,13222,
2020-12-09,13268,
2020-12-10,13178,
2020-12-11,13128,
