date,TOPIX,NASDAQ100,S&P500
2018-07-23,11554,,10322.0
2018-07-24,11608,,10371.0
2018-07-25,11652,,10423.0
2018-07-26,11734,,10462.0
2018-07-27,11801,,10469.0
2018-07-30,11749,,10398.0
2018-07-31,11650,,10330.0
2018-08-01,11760,,10458.0
2018-08-02,11643,,10437.0
2018-08-03,11579,,10497.0
2018-08-06,11515,,10493.0
2018-08-07,11602,,10539.0
2018-08-08,11593,,10581.0
2018-08-09,11563,,10526.0
2018-08-10,11430,,10515.0
2018-08-13,11188,,10409.0
2018-08-14,11370,,10388.0
2018-08-15,11284,,10514.0
2018-08-16,11211,,10361.0
2018-08-17,11281,,10473.0
2018-08-20,11244,,10477.0
2018-08-21,11200,,10439.0
2018-08-22,11286,,10490.0
2018-08-23,11285,,10540.0
2018-08-24,11358,,10592.0
2018-08-27,11489,,10627.0
2018-08-28,11507,,10712.0
2018-08-29,11562,,10715.0
2018-08-30,11560,,10828.0
2018-08-31,11534,,10714.0
2018-09-03,11434,,10709.0
2018-09-04,11421,,10718.0
2018-09-05,11332,,10743.0
2018-09-06,11248,,10688.0
2018-09-07,11195,,10580.0
2018-09-10,11216,,10598.0
2018-09-11,11291,,10668.0
2018-09-12,11241,,10720.0
2018-09-13,11365,,10710.0
2018-09-14,11489,,10834.0
2018-09-18,11697,,10751.0
2018-09-19,11868,,10855.0
2018-09-20,11881,,10876.0
2018-09-21,11989,,10984.0
2018-09-25,12112,,10981.0
2018-09-26,12203,,10959.0
2018-09-27,12059,,10919.0
2018-09-28,12173,,11016.0
2018-10-01,12178,,11051.0
2018-10-02,12219,,11097.0
2018-10-03,12077,,11056.0
2018-10-04,12066,,11143.0
2018-10-05,12009,,11026.0
2018-10-09,11798,,10849.0
2018-10-10,11816,,10845.0
2018-10-11,11400,,10420.0
2018-10-12,11404,,10195.0
2018-10-15,11223,,10324.0
2018-10-16,11306,,10250.0
2018-10-17,11481,,10520.0
2018-10-18,11418,,10545.0
2018-10-19,11340,,10362.0
2018-10-22,11357,,10369.0
2018-10-23,11057,,10351.0
2018-10-24,11066,,10267.0
2018-10-25,10725,,9911.0
2018-10-26,10692,,10133.0
