ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç çëì‡ÉäÅ[ÉgÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2021/07/15,10268,10268,,85.19
2021/07/16,10317,10317,,85.70
2021/07/19,10210,10210,,84.87
2021/07/20,10158,10158,,84.81
2021/07/21,10162,10162,,84.57
2021/07/26,10124,10124,,84.37
2021/07/27,10224,10224,,85.40
2021/07/28,10332,10332,,86.11
2021/07/29,10310,10310,,85.02
2021/07/30,10263,10263,,84.70
2021/08/02,10205,10205,,84.24
2021/08/03,10166,10166,,84.68
2021/08/04,10209,10209,,84.98
2021/08/05,10378,10378,,86.29
2021/08/06,10220,10220,,84.81
2021/08/10,10145,10145,,84.48
2021/08/11,10182,10182,,85.21
2021/08/12,10203,10203,,85.34
2021/08/13,10169,10169,,84.97
2021/08/16,10160,10160,,84.96
2021/08/17,10128,10128,,85.05
2021/08/18,10218,10218,,85.74
2021/08/19,10117,10117,,84.89
2021/08/20,10092,10092,,84.78
2021/08/23,9952,9952,,83.69
2021/08/24,9937,9937,,83.75
2021/08/25,9905,9905,,83.54
2021/08/26,10055,10055,,84.86
2021/08/27,10329,10329,,87.09
2021/08/30,10401,10401,,87.17
2021/08/31,10235,10235,,85.69
2021/09/01,10193,10193,,85.47
2021/09/02,10262,10262,,86.55
2021/09/03,10243,10243,,86.26
2021/09/06,10323,10323,,86.93
2021/09/07,10267,10267,,86.45
2021/09/08,10243,10243,,86.41
2021/09/09,10191,10191,,86.15
2021/09/10,10155,10155,,85.86
2021/09/13,10136,10136,,85.86
2021/09/14,10219,10219,,86.79
2021/09/15,10101,10101,,85.86
2021/09/16,10137,10137,,86.54
2021/09/17,10132,10132,,86.69
2021/09/21,10061,10061,,86.11
2021/09/22,9939,9939,,85.00
2021/09/24,9956,9956,,85.20
2021/09/27,10067,10067,,86.73
2021/09/28,10103,10103,,87.00
2021/09/29,9995,9995,,86.01
2021/09/30,9912,9912,,85.45
2021/10/01,9654,9654,,83.43
2021/10/04,9747,9747,,84.64
2021/10/05,9748,9748,,84.66
2021/10/06,9739,9739,,84.69
2021/10/07,9823,9823,,85.41
2021/10/08,9729,9729,,84.70
2021/10/11,9833,9833,,85.68
2021/10/12,9812,9812,,85.62
2021/10/13,9970,9970,,87.16
2021/10/14,9923,9923,,86.64
2021/10/15,10023,10023,,87.55
2021/10/18,10090,10090,,88.21
2021/10/19,10071,10071,,88.13
2021/10/20,10030,10030,,87.83
2021/10/21,9982,9982,,87.43
2021/10/22,9894,9894,,86.71
2021/10/25,9925,9925,,87.30
2021/10/26,9884,9884,,86.93
2021/10/27,9962,9962,,87.84
2021/10/28,9974,9974,,87.86
2021/10/29,10029,10029,,88.40
2021/11/01,9956,9956,,87.57
2021/11/02,9974,9974,,88.65
2021/11/04,10000,10000,,88.60
2021/11/05,10032,10032,,89.00
2021/11/08,10044,10044,,88.92
2021/11/09,9913,9913,,87.71
2021/11/10,9867,9867,,87.51
2021/11/11,9906,9906,,88.04
2021/11/12,9872,9872,,87.81
2021/11/15,9883,9883,,88.02
2021/11/16,9938,9938,,88.58
2021/11/17,9874,9874,,88.01
2021/11/18,9901,9901,,88.38
2021/11/19,9862,9862,,87.87
2021/11/22,9851,9851,,88.00
2021/11/24,9889,9889,,88.43
2021/11/25,9934,9934,,88.81
2021/11/26,9914,9914,,88.73
2021/11/29,9709,9709,,87.02
2021/11/30,9617,9617,,86.44
2021/12/01,9703,9703,,87.34
2021/12/02,9620,9620,,87.18
2021/12/03,9721,9721,,88.19
2021/12/06,9677,9677,,87.92
2021/12/07,9741,9741,,88.84
2021/12/08,9855,9855,,89.90
2021/12/09,9927,9927,,90.48
2021/12/10,9946,9946,,90.71
2021/12/13,9840,9840,,89.93
2021/12/14,9784,9784,,89.74
2021/12/15,9777,9777,,89.69
2021/12/16,9768,9768,,89.73
2021/12/17,9952,9952,,91.53
2021/12/20,9706,9706,,89.13
2021/12/21,9788,9788,,90.41
2021/12/22,9746,9746,,90.12
2021/12/23,9804,9804,,90.87
2021/12/24,9833,9833,,91.15
2021/12/27,9789,9789,,90.76
2021/12/28,9883,9883,,91.72
2021/12/29,9968,9968,,92.45
2021/12/30,9949,9949,,92.12
2022/01/04,10020,10020,,92.93
2022/01/05,9844,9844,,91.79
2022/01/06,9799,9799,,91.70
2022/01/07,9743,9743,,91.37
2022/01/11,9706,9706,,91.01
2022/01/12,9696,9696,,91.26
2022/01/13,9679,9679,,91.19
2022/01/14,9603,9603,,91.11
2022/01/17,9546,9546,,90.90
2022/01/18,9469,9469,,90.15
2022/01/19,9134,9134,,87.14
2022/01/20,8855,8855,,84.51
2022/01/21,9058,9058,,87.27
2022/01/24,9131,9131,,88.82
2022/01/25,9078,9078,,88.78
2022/01/26,9184,9184,,89.15
2022/01/27,9360,9360,,90.76
2022/01/28,9377,9377,,91.01
2022/01/31,9405,9405,,91.33
2022/02/01,9298,9298,,90.67
2022/02/02,9322,9322,,91.68
2022/02/03,9383,9383,,92.25
2022/02/04,9323,9323,,91.62
2022/02/07,9237,9237,,90.99
2022/02/08,9044,9044,,89.32
2022/02/09,9198,9198,,91.19
2022/02/10,9351,9351,,92.30
2022/02/14,9148,9148,,90.40
2022/02/15,9014,9014,,89.29
2022/02/16,9199,9199,,91.46
2022/02/17,9253,9253,,92.02
2022/02/18,9214,9214,,91.51
2022/02/21,9168,9168,,91.15
2022/02/22,9033,9033,,89.98
2022/02/24,9050,9050,,90.38
2022/02/25,9057,9057,,90.51
2022/02/28,9128,9128,,91.76
2022/03/01,9187,9187,,92.57
2022/03/02,9243,9243,,93.54
2022/03/03,9208,9208,,92.99
2022/03/04,9189,9189,,92.84
2022/03/07,9140,9140,,92.55
2022/03/08,9081,9081,,92.15
2022/03/09,8963,8963,,90.97
2022/03/10,9188,9188,,93.37
2022/03/11,9112,9112,,92.30
2022/03/14,9074,9074,,91.93
2022/03/15,9034,9034,,91.72
2022/03/16,9194,9194,,93.66
2022/03/17,9245,9245,,94.14
2022/03/18,9389,9389,,95.62
2022/03/22,9608,9608,,97.63
2022/03/23,9542,9542,,97.29
2022/03/24,9649,9649,,98.66
2022/03/25,9539,9539,,97.48
2022/03/28,9681,9681,,99.15
2022/03/29,9835,9835,,100.73
2022/03/30,9688,9688,,98.88
2022/03/31,9756,9756,,99.79
2022/04/01,9850,9850,,100.46
2022/04/04,9838,9838,,100.90
2022/04/05,9849,9849,,101.18
2022/04/06,9801,9801,,100.68
2022/04/07,9732,9732,,99.98
2022/04/08,9605,9605,,98.64
2022/04/11,9691,9691,,99.57
2022/04/12,9643,9643,,99.29
2022/04/13,9663,9663,,99.66
2022/04/14,9709,9709,,100.15
2022/04/15,9704,9704,,100.23
2022/04/18,9736,9736,,100.73
2022/04/19,9631,9631,,99.81
2022/04/20,9606,9606,,99.62
2022/04/21,9669,9669,,100.42
2022/04/22,9709,9709,,100.92
2022/04/25,9693,9693,0,100.79
2022/04/26,9685,9685,,100.90
2022/04/27,9746,9746,,101.49
2022/04/28,9639,9639,,100.44
2022/05/02,9693,9693,,100.96
2022/05/06,9724,9724,,101.99
2022/05/09,9635,9635,,101.37
2022/05/10,9554,9554,,100.57
2022/05/11,9474,9474,,99.93
2022/05/12,9477,9477,,100.16
2022/05/13,9619,9619,,101.74
2022/05/16,9604,9604,,101.52
2022/05/17,9649,9649,,102.41
2022/05/18,9697,9697,,103.00
2022/05/19,9674,9674,,102.73
2022/05/20,9674,9674,,102.83
2022/05/23,9699,9699,,103.20
2022/05/24,9613,9613,,102.40
2022/05/25,9746,9746,,103.86
2022/05/26,9686,9686,,103.29
2022/05/27,9699,9699,,103.53
2022/05/30,9788,9788,,104.43
2022/05/31,9810,9810,,104.77
2022/06/01,9820,9820,,104.84
2022/06/02,9838,9838,,105.63
2022/06/03,9804,9804,,105.33
2022/06/06,9820,9820,,105.64
2022/06/07,9851,9851,,106.08
2022/06/08,9878,9878,,106.43
2022/06/09,9898,9898,,106.54
2022/06/10,9818,9818,,105.68
2022/06/13,9732,9732,,104.81
2022/06/14,9479,9479,,102.24
2022/06/15,9198,9198,,99.39
2022/06/16,9370,9370,,101.93
2022/06/17,9405,9405,,102.72
2022/06/20,9322,9322,,101.84
2022/06/21,9372,9372,,102.46
2022/06/22,9292,9292,,101.73
2022/06/23,9335,9335,,102.19
2022/06/24,9362,9362,,102.65
2022/06/27,9468,9468,,103.99
2022/06/28,9620,9620,,105.95
2022/06/29,9669,9669,,106.32
2022/06/30,9645,9645,,105.69
2022/07/01,9540,9540,,104.60
2022/07/04,9661,9661,,106.42
2022/07/05,9664,9664,,106.58
2022/07/06,9557,9557,,105.32
2022/07/07,9634,9634,,106.21
2022/07/08,9534,9534,,105.08
2022/07/11,9639,9639,,106.42
2022/07/12,9641,9641,,106.49
2022/07/13,9629,9629,,106.52
2022/07/14,9640,9640,,106.69
2022/07/15,9587,9587,,106.20
2022/07/19,9694,9694,,107.53
2022/07/20,9687,9687,,107.56
2022/07/21,9764,9764,,108.55
2022/07/22,9797,9797,,108.76
2022/07/25,9812,9812,,108.62
2022/07/26,9796,9796,,108.53
2022/07/27,9811,9811,,108.58
2022/07/28,9852,9852,,108.99
2022/07/29,9946,9946,,110.08
2022/08/01,10014,10014,,110.69
2022/08/02,9926,9926,,110.08
2022/08/03,9920,9920,,110.00
2022/08/04,9964,9964,,110.60
2022/08/05,9947,9947,,110.40
2022/08/08,9939,9939,,110.35
2022/08/09,9914,9914,,110.19
2022/08/10,9893,9893,,109.85
2022/08/12,9898,9898,,109.92
2022/08/15,9975,9975,,110.80
2022/08/16,10017,10017,,111.45
2022/08/17,9967,9967,,110.99
2022/08/18,9990,9990,,111.15
2022/08/19,10028,10028,,111.59
2022/08/22,9981,9981,,110.95
2022/08/23,9896,9896,,109.93
2022/08/24,9865,9865,,109.77
2022/08/25,9934,9934,,110.69
2022/08/26,10013,10013,,111.82
2022/08/29,9983,9983,,111.56
2022/08/30,10116,10116,,112.89
2022/08/31,10062,10062,,112.31
2022/09/01,9963,9963,,111.07
2022/09/02,9941,9941,,111.57
2022/09/05,9974,9974,,112.41
2022/09/06,9993,9993,,112.67
2022/09/07,10004,10004,,112.88
2022/09/08,9980,9980,,112.70
2022/09/09,10040,10040,,113.55
2022/09/12,10061,10061,,113.72
2022/09/13,10074,10074,,113.93
2022/09/14,9977,9977,,112.67
2022/09/15,9962,9962,,112.60
2022/09/16,10067,10067,,114.30
2022/09/20,9977,9977,,113.17
2022/09/21,9951,9951,,113.02
2022/09/22,9979,9979,,113.45
2022/09/26,9782,9782,,111.15
2022/09/27,9640,9640,,109.84
2022/09/28,9483,9483,,108.31
2022/09/29,9591,9591,,109.61
2022/09/30,9642,9642,,110.36
2022/10/03,9676,9676,,110.92
2022/10/04,9819,9819,,113.22
2022/10/05,9741,9741,,112.43
2022/10/06,9710,9710,,112.28
2022/10/07,9626,9626,,111.50
2022/10/11,9545,9545,,110.74
2022/10/12,9570,9570,,111.45
2022/10/13,9446,9446,,110.06
2022/10/14,9431,9431,,110.12
2022/10/17,9372,9372,,109.76
2022/10/18,9342,9342,,109.94
2022/10/19,9251,9251,,109.07
2022/10/20,9270,9270,,109.57
2022/10/21,9234,9234,,109.57
2022/10/24,9192,9192,,109.28
2022/10/25,9279,9279,,110.66
2022/10/26,9600,9600,,114.76
2022/10/27,9719,9719,,115.88
2022/10/28,9756,9756,,116.19
2022/10/31,9805,9805,,116.44
2022/11/01,9938,9938,,117.78
2022/11/02,9755,9755,,115.96
2022/11/04,9678,9678,,115.20
2022/11/07,9607,9607,,114.46
2022/11/08,9674,9674,,115.50
2022/11/09,9669,9669,,115.53
2022/11/10,9660,9660,,115.47
2022/11/11,9821,9821,,117.52
2022/11/14,9680,9680,,115.64
2022/11/15,9640,9640,,115.51
2022/11/16,9658,9658,,115.93
2022/11/17,9691,9691,,116.42
2022/11/18,9695,9695,,116.55
2022/11/21,9766,9766,,117.36
2022/11/22,9700,9700,,116.57
